# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); 
# 
# STN,YYYYMMDD,   TG,   UG
#
  240,20160401,   82,   68
  240,20160402,  106,   71
  240,20160403,  145,   77
  240,20160404,  125,   82
  240,20160405,   99,   84
  240,20160406,   83,   85
  240,20160407,   77,   76
  240,20160408,   77,   83
  240,20160409,   98,   71
  240,20160410,  103,   76
  240,20160411,  136,   59
  240,20160412,  114,   75
  240,20160413,  103,   81
  240,20160414,  111,   76
  240,20160415,  102,   89
  240,20160416,   80,   81
  240,20160417,   64,   75
  240,20160418,   90,   72
  240,20160419,   93,   71
  240,20160420,   81,   70
  240,20160421,   96,   66
  240,20160422,   86,   70
  240,20160423,   63,   68
  240,20160424,   44,   78
  240,20160425,   49,   80
  240,20160426,   52,   81
  240,20160427,   58,   81
  240,20160428,   53,   76
  240,20160429,   77,   71
  240,20160430,   73,   74
  240,20160501,   80,   69
  240,20160502,  112,   69
  240,20160503,   95,   76
  240,20160504,  106,   66
  240,20160505,  135,   52
  240,20160506,  171,   61
  240,20160507,  201,   51
  240,20160508,  208,   44
  240,20160509,  205,   49
  240,20160510,  190,   63
  240,20160511,  202,   60
  240,20160512,  201,   56
  240,20160513,  149,   64
  240,20160514,   86,   67
  240,20160515,   84,   69
  240,20160516,   93,   74
  240,20160517,  124,   71
  240,20160518,  129,   79
  240,20160519,  133,   82
  240,20160520,  137,   82
  240,20160521,  174,   74
  240,20160522,  147,   91
  240,20160523,  119,   90
  240,20160524,  113,   77
  240,20160525,  116,   89
  240,20160526,  136,   80
  240,20160527,  157,   77
  240,20160528,  177,   78
  240,20160529,  171,   82
  240,20160530,  161,   90
  240,20160531,  190,   78
  240,20160601,  188,   83
  240,20160602,  138,   92
  240,20160603,  152,   92
  240,20160604,  205,   75
  240,20160605,  190,   72
  240,20160606,  181,   72
  240,20160607,  194,   71
  240,20160608,  157,   77
  240,20160609,  145,   71
  240,20160610,  160,   71
  240,20160611,  159,   79
  240,20160612,  171,   76
  240,20160613,  156,   89
  240,20160614,  152,   86
  240,20160615,  142,   88
  240,20160616,  159,   77
  240,20160617,  154,   82
  240,20160618,  139,   83
  240,20160619,  155,   69
  240,20160620,  155,   93
  240,20160621,  165,   89
  240,20160622,  198,   79
  240,20160623,  210,   90
  240,20160624,  185,   85
  240,20160625,  154,   84
  240,20160626,  158,   78
  240,20160627,  155,   83
  240,20160628,  161,   81
  240,20160629,  160,   80
  240,20160630,  161,   90
  240,20160701,  163,   88
  240,20160702,  155,   71
  240,20160703,  154,   76
  240,20160704,  174,   72
  240,20160705,  154,   84
  240,20160706,  149,   75
  240,20160707,  170,   71
  240,20160708,  172,   84
  240,20160709,  192,   74
  240,20160710,  202,   75
  240,20160711,  185,   71
  240,20160712,  173,   79
  240,20160713,  152,   78
  240,20160714,  149,   72
  240,20160715,  168,   70
  240,20160716,  194,   82
  240,20160717,  193,   80
