"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1960",14.1,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1961",13.75,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1962",12.93,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1963",12.87,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1964",12.03,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1965",11.96,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1966",10.76,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1967",10.5,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1968",9.9,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1969",9.73,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1970",8.47,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1971",8.82,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1972",8.7,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1973",7.9,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1974",8.17,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1975",8.22,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1976",8.11,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1977",7.32,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1978",7.35,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1979",7.18,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1980",6.82,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","1981",7.22,
